Date,Product_ID,Price,Quantity
2023-01-01,1044,77.71,13
2023-01-02,1047,106.33,4
2023-01-03,1064,190.68,10
2023-01-04,1067,412.29,11
2023-01-05,1067,57.58,14
2023-01-06,1009,420.59,8
2023-01-07,1083,57.09,8
2023-01-08,1021,488.47,2
2023-01-09,1036,239.64,13
2023-01-10,1087,488.61,3
2023-01-11,1070,306.37,3
2023-01-12,1088,372.24,2
2023-01-13,1088,29.2,6
2023-01-14,1012,148.58,9
2023-01-15,1058,68.9,5
2023-01-16,1065,155.11,1
2023-01-17,1039,68.18,12
2023-01-18,1087,165.81,3
2023-01-19,1046,212.99,6
2023-01-20,1088,41.43,17
2023-01-21,1081,349.31,9
2023-01-22,1037,287.63,2
2023-01-23,1025,140.04,18
2023-01-24,1077,266.39,17
2023-01-25,1072,56.03,4
2023-01-26,1009,292.21,9
2023-01-27,1020,465.36,5
2023-01-28,1080,166.1,17
2023-01-29,1069,337.03,4
2023-01-30,1079,74.58,8
2023-01-31,1047,361.0,4
2023-02-01,1064,151.81,19
2023-02-02,1082,99.76,18
2023-02-03,1099,297.39,2
2023-02-04,1088,19.85,19
2023-02-05,1049,416.18,18
2023-02-06,1029,12.3,3
2023-02-07,1019,342.13,6
2023-02-08,1019,142.3,6
2023-02-09,1014,370.25,13
2023-02-10,1039,481.47,13
2023-02-11,1032,131.89,3
2023-02-12,1065,292.32,16
2023-02-13,1009,300.1,8
2023-02-14,1057,290.4,8
2023-02-15,1032,119.31,12
2023-02-16,1031,476.85,18
2023-02-17,1074,229.09,7
2023-02-18,1023,424.74,8
2023-02-19,1035,352.74,19
2023-02-20,1075,155.74,12
2023-02-21,1055,408.76,18
2023-02-22,1028,204.29,10
2023-02-23,1034,441.74,15
2023-02-24,1000,294.82,10
2023-02-25,1000,442.05,19
2023-02-26,1036,349.34,1
2023-02-27,1053,365.37,10
2023-02-28,1005,255.65,12
2023-03-01,1038,478.48,18
2023-03-02,1017,325.56,10
2023-03-03,1079,217.69,1
2023-03-04,1004,307.13,17
2023-03-05,1042,19.4,11
2023-03-06,1058,157.77,5
2023-03-07,1031,333.49,4
2023-03-08,1001,152.14,9
2023-03-09,1065,312.83,15
2023-03-10,1041,220.1,1
2023-03-11,1057,76.38,9
2023-03-12,1035,156.16,8
2023-03-13,1011,289.28,14
2023-03-14,1046,299.53,18
2023-03-15,1082,291.42,1
2023-03-16,1091,330.07,12
2023-03-17,1000,329.53,5
2023-03-18,1014,221.4,1
2023-03-19,1099,449.31,11
2023-03-20,1053,190.11,15
2023-03-21,1012,223.57,19
2023-03-22,1042,447.04,5
2023-03-23,1084,405.04,4
2023-03-24,1075,354.91,8
2023-03-25,1068,59.11,9
2023-03-26,1006,460.55,14
2023-03-27,1068,359.98,6
2023-03-28,1047,499.44,1
2023-03-29,1003,83.23,9
2023-03-30,1076,435.38,16
2023-03-31,1052,89.62,16
2023-04-01,1078,311.62,12
2023-04-02,1015,70.67,5
2023-04-03,1020,425.52,8
2023-04-04,1099,405.59,14
2023-04-05,1058,288.86,11
2023-04-06,1023,209.52,15
2023-04-07,1079,43.89,18
2023-04-08,1013,351.74,4
2023-04-09,1085,232.24,10
2023-04-10,1048,363.81,19
